truck_id,month,trips_completed,total_miles,total_revenue,average_mpg,maintenance_events,maintenance_cost,downtime_hours,utilization_rate
TRK00001,2022-01-01,22,39269,84792.02,6.78,2,4380.98,63.1,0.71
TRK00001,2022-02-01,27,40787,88809.05,6.23,0,0.0,0.0,0.964
TRK00001,2022-03-01,34,57422,120453.71,6.49,0,0.0,0.0,1.097
TRK00001,2022-04-01,20,34428,73531.28,6.5,2,3548.15,71.8,0.667
TRK00001,2022-05-01,16,20851,40791.53,6.38,1,1969.42,43.9,0.516
TRK00001,2022-06-01,31,47085,101659.37,6.46,0,0.0,0.0,1.033
TRK00001,2022-07-01,28,38038,84143.99,6.54,0,0.0,0.0,0.903
TRK00001,2022-08-01,27,35902,82253.78,6.3,1,382.57,20.4,0.871
TRK00001,2022-09-01,24,40898,88581.76,6.56,1,3372.41,46.5,0.8
TRK00001,2022-10-01,37,51364,108130.03,6.42,2,1744.63,58.7,1.194
TRK00001,2022-11-01,27,40313,79626.57,6.45,1,2103.04,25.2,0.9
TRK00001,2022-12-01,26,34882,71982.89,6.38,0,0.0,0.0,0.839
TRK00001,2023-01-01,25,39588,84543.89,6.25,0,0.0,0.0,0.806
TRK00001,2023-02-01,23,28620,57588.15,6.58,0,0.0,0.0,0.821
TRK00001,2023-03-01,25,36717,81060.18,6.37,0,0.0,0.0,0.806
TRK00001,2023-04-01,23,35740,78165.77,6.54,3,6275.59,98.0,0.767
TRK00001,2023-05-01,28,34020,75571.8,6.46,0,0.0,0.0,0.903
TRK00001,2023-06-01,31,39469,82425.94,6.56,0,0.0,0.0,1.033
TRK00001,2023-07-01,23,32251,62874.89,6.22,3,7732.69,108.4,0.742
TRK00001,2023-08-01,23,31928,63571.27,6.44,1,2777.43,46.4,0.742
TRK00001,2023-09-01,24,37859,83909.21,6.46,1,3851.64,3.3,0.8
TRK00001,2023-10-01,36,51677,110826.94,6.39,0,0.0,0.0,1.161
TRK00001,2023-11-01,29,43564,97542.87,6.51,1,366.3,27.8,0.967
TRK00001,2023-12-01,25,30017,63035.89,6.48,0,0.0,0.0,0.806
TRK00001,2024-01-01,26,35600,73755.28,6.53,1,2770.74,6.2,0.839
TRK00001,2024-02-01,19,31485,70451.49,6.45,0,0.0,0.0,0.655
TRK00001,2024-03-01,34,47000,99668.63,6.4,0,0.0,0.0,1.097
