driver_id,month,trips_completed,total_miles,total_revenue,average_mpg,total_fuel_gallons,on_time_delivery_rate,average_idle_hours
DRV00001,2022-01-01,26,36620,79141.59,6.61,5574.7,0.385,8.2
DRV00001,2022-02-01,9,13515,27133.87,6.69,2095.1,0.333,6.8
DRV00001,2022-03-01,20,30361,62399.62,6.36,4792.2,0.55,7.5
DRV00001,2022-04-01,19,28127,68161.13,6.61,4251.4,0.474,8.4
DRV00001,2022-05-01,14,16071,36256.82,6.35,2573.1,0.214,6.8
DRV00001,2022-06-01,13,17291,39709.91,6.38,2767.8,0.615,5.5
DRV00001,2022-07-01,21,32772,66855.24,6.41,5198.6,0.476,7.5
DRV00001,2022-08-01,20,27010,58514.48,6.35,4331.9,0.45,5.8
DRV00001,2022-09-01,20,30866,72027.99,6.21,4984.9,0.55,5.8
DRV00001,2022-10-01,12,23943,53495.8,6.26,3832.4,0.333,7.0
DRV00001,2022-11-01,16,21223,43790.85,6.28,3401.1,0.5,7.8
DRV00001,2022-12-01,16,21622,46003.88,6.41,3360.9,0.688,7.2
DRV00001,2023-01-01,12,18268,38932.16,6.47,2857.2,0.333,7.6
DRV00001,2023-02-01,17,28460,53581.07,6.41,4405.0,0.294,7.2
DRV00001,2023-03-01,14,20595,42486.0,6.65,3107.8,0.714,7.2
DRV00001,2023-04-01,20,33189,73889.12,6.55,4982.5,0.5,5.9
DRV00001,2023-05-01,27,38925,80753.47,6.7,5834.1,0.481,6.7
DRV00001,2023-06-01,16,25040,48233.25,6.62,3889.6,0.5,6.3
DRV00001,2023-07-01,24,33112,71219.63,6.41,5208.4,0.417,7.2
DRV00001,2023-08-01,18,23507,50546.35,6.57,3637.3,0.5,7.7
DRV00001,2023-09-01,16,26151,57939.38,6.27,4183.4,0.438,7.5
DRV00001,2023-10-01,14,15481,32072.26,6.37,2495.6,0.429,6.3
DRV00001,2023-11-01,17,27676,56540.65,6.62,4265.6,0.353,6.6
DRV00001,2023-12-01,18,25415,59509.14,6.24,4132.2,0.389,6.8
DRV00001,2024-01-01,22,36993,79177.37,6.36,5830.0,0.273,6.7
DRV00001,2024-02-01,15,25006,53929.55,6.51,3922.4,0.4,6.8
DRV00001,2024-03-01,27,36821,77435.61,6.4,5817.9,0.333,6.9
DRV00001,2024-04-01,17,25192,50274.69,6.32,3967.3,0.529,7.0
DRV00001,2024-05-01,23,36131,75314.62,6.61,5454.6,0.609,6.4
DRV00001,2024-06-01,19,29615,58603.31,6.86,4296.5,0.526,7.2
DRV00001,2024-07-01,22,34260,74397.86,6.75,5192.0,0.636,6.3
DRV00001,2024-08-01,12,16488,38977.62,6.39,2618.2,0.417,8.2
DRV00001,2024-09-01,14,13838,26526.61,6.48,2167.3,0.429,7.5
DRV00001,2024-10-01,19,26301,57856.54,6.62,3996.9,0.526,7.6
DRV00001,2024-11-01,18,22320,51436.61,6.35,3563.1,0.556,7.3
DRV00001,2024-12-01,5,12031,22559.21,7.0,1716.9,0.2,8.1
DRV00002,2022-01-01,17,20662,46531.02,6.41,3361.4,0.471,6.7
DRV00002,2022-02-01,21,30205,66503.01,6.35,4887.8,0.476,7.2
DRV00002,2022-03-01,25,41306,90097.62,6.47,6438.9,0.28,7.6
DRV00002,2022-04-01,14,23754,57494.21,6.71,3569.3,0.643,7.8
DRV00002,2022-05-01,17,15562,34853.67,6.45,2416.0,0.529,8.5
DRV00002,2022-06-01,19,21552,43571.05,6.23,3461.7,0.526,7.5
DRV00002,2022-07-01,18,26283,55906.29,6.79,3926.3,0.389,6.5
DRV00002,2022-08-01,24,28940,68562.52,6.42,4516.8,0.583,7.6
DRV00002,2022-09-01,12,16681,40369.83,7.01,2351.0,0.583,6.7
DRV00002,2022-10-01,21,28784,66240.28,6.57,4400.6,0.381,6.5
DRV00002,2022-11-01,12,20269,48935.04,6.39,3180.9,0.583,7.7
DRV00002,2022-12-01,16,23807,54110.29,6.42,3761.5,0.438,6.3
DRV00002,2023-01-01,26,34745,73042.32,6.54,5347.7,0.423,7.2
DRV00002,2023-02-01,12,11271,24298.34,6.51,1733.4,0.167,7.6
DRV00002,2023-03-01,17,26229,59592.12,6.36,4219.8,0.412,7.2
DRV00002,2023-04-01,17,22020,47419.59,6.55,3365.5,0.588,6.5
DRV00002,2023-05-01,21,29881,58427.21,6.5,4646.6,0.429,7.1
DRV00002,2023-06-01,17,28383,57375.17,6.45,4456.4,0.412,7.4
DRV00002,2023-07-01,19,30581,67743.36,6.36,4823.1,0.684,6.7
DRV00002,2023-08-01,18,26499,57555.28,6.52,4144.1,0.556,7.2
DRV00002,2023-09-01,19,27792,53829.75,6.36,4451.9,0.474,6.3
DRV00002,2023-10-01,22,38132,89077.9,6.22,6158.7,0.318,7.0
DRV00002,2023-11-01,13,17276,36515.89,6.76,2530.1,0.538,7.3
DRV00002,2023-12-01,19,34149,82666.62,6.48,5319.9,0.579,6.5
DRV00002,2024-01-01,17,24126,51538.93,6.34,3767.8,0.471,6.0
DRV00002,2024-02-01,21,34284,70980.64,6.67,5102.6,0.524,7.0
DRV00002,2024-03-01,23,35945,82267.56,6.54,5612.7,0.435,7.4
DRV00002,2024-04-01,13,16575,33590.27,6.59,2546.2,0.615,7.1
DRV00002,2024-05-01,22,31972,68833.32,6.56,4912.8,0.636,8.1
DRV00002,2024-06-01,23,30576,71484.02,6.42,4792.2,0.13,7.2
DRV00002,2024-07-01,17,23816,52840.18,6.41,3714.0,0.235,6.5
DRV00002,2024-08-01,20,22245,48566.92,6.62,3354.2,0.35,7.6
DRV00002,2024-09-01,19,33327,72301.58,6.51,5216.1,0.421,6.3
DRV00002,2024-10-01,12,13142,25096.16,6.68,1902.8,0.667,7.5
DRV00002,2024-11-01,16,24940,55906.29,6.43,3962.0,0.438,7.6
DRV00002,2024-12-01,23,27535,59497.25,6.58,4247.9,0.478,7.0
DRV00003,2022-01-01,18,30348,56159.2,6.51,4727.4,0.389,7.1
DRV00003,2022-02-01,16,19714,42029.18,6.31,3147.6,0.25,7.7
DRV00003,2022-03-01,24,41699,92042.26,6.54,6485.0,0.5,7.1
DRV00003,2022-04-01,19,30529,61318.97,6.4,4788.6,0.368,6.5
DRV00003,2022-05-01,19,25441,57944.75,6.41,3981.4,0.579,7.1
DRV00003,2022-06-01,17,25925,61446.66,6.5,4035.4,0.353,6.7
DRV00003,2022-07-01,23,31212,68986.36,6.77,4686.2,0.435,7.5
DRV00003,2022-08-01,16,22070,47136.33,6.44,3410.6,0.375,7.3
DRV00003,2022-09-01,17,26166,52823.54,6.58,4011.8,0.176,7.1
DRV00003,2022-10-01,19,28311,61837.97,6.5,4423.9,0.474,6.3
DRV00003,2022-11-01,19,34196,73564.05,6.47,5292.8,0.368,8.8
DRV00003,2022-12-01,21,28346,66510.53,6.52,4398.4,0.476,6.4
DRV00003,2023-01-01,21,31027,64371.74,6.47,4914.1,0.429,6.4
DRV00003,2023-02-01,25,36532,77105.48,6.51,5621.2,0.48,7.6
DRV00003,2023-03-01,25,33699,73001.32,6.76,4965.6,0.48,5.9
DRV00003,2023-04-01,24,36781,79394.58,6.56,5606.1,0.375,7.1
DRV00003,2023-05-01,18,22131,47256.71,6.48,3504.2,0.222,5.8
DRV00003,2023-06-01,21,26977,56730.39,6.43,4219.3,0.619,6.7
DRV00003,2023-07-01,22,32889,67379.16,6.59,5000.0,0.227,7.5
DRV00003,2023-08-01,18,28262,57450.89,6.54,4325.1,0.722,7.3
DRV00003,2023-09-01,17,30267,61036.69,6.38,4761.3,0.647,6.8
DRV00003,2023-10-01,20,32471,73604.44,6.69,4878.4,0.55,7.5
DRV00003,2023-11-01,13,24084,45235.01,6.7,3655.5,0.462,5.9
DRV00003,2023-12-01,25,32958,66313.18,6.59,5101.9,0.6,7.1
DRV00003,2024-01-01,15,29027,55474.99,6.38,4620.7,0.4,7.4
DRV00003,2024-02-01,17,23829,52033.92,6.59,3719.6,0.824,6.2
DRV00003,2024-03-01,13,23946,50357.71,6.65,3658.5,0.308,5.2
DRV00003,2024-04-01,18,21932,47461.61,6.7,3276.9,0.444,6.2
DRV00003,2024-05-01,21,34917,73607.55,6.36,5574.2,0.381,7.0
DRV00003,2024-06-01,20,27858,60776.31,6.57,4280.6,0.3,6.4
DRV00003,2024-07-01,12,19643,42888.42,6.35,3036.2,0.333,5.4
DRV00003,2024-08-01,15,19860,41098.08,6.38,3139.7,0.6,6.9
DRV00003,2024-09-01,21,29353,71046.17,6.72,4409.7,0.619,6.9
DRV00003,2024-10-01,14,19798,37210.68,6.78,2944.4,0.643,6.2
DRV00003,2024-11-01,15,20087,43927.83,6.64,3076.6,0.4,6.3
DRV00003,2024-12-01,19,27950,60414.81,6.65,4218.9,0.421,7.4
DRV00004,2022-01-01,18,30923,60405.56,6.46,4792.8,0.222,6.5
DRV00004,2022-02-01,13,13242,27380.91,6.55,2054.0,0.308,8.0
DRV00004,2022-03-01,13,19765,42002.18,6.54,3067.3,0.615,6.7
DRV00004,2022-04-01,24,40087,84580.16,6.7,6096.6,0.583,6.8
DRV00004,2022-05-01,12,14291,33118.41,6.53,2238.6,0.583,8.1
DRV00004,2022-06-01,23,35468,77895.04,6.78,5307.7,0.435,6.9
DRV00004,2022-07-01,32,46186,98176.32,6.2,7503.4,0.281,6.6
DRV00004,2022-08-01,25,38640,82802.95,6.59,6037.9,0.36,7.5
DRV00004,2022-09-01,18,24375,50300.66,6.58,3673.1,0.5,6.1
DRV00004,2022-10-01,23,34614,74551.26,6.5,5264.0,0.261,6.9
DRV00004,2022-11-01,20,33749,73988.31,6.67,5188.9,0.5,5.9
DRV00004,2022-12-01,16,23810,54245.78,6.52,3703.2,0.312,7.4
DRV00004,2023-01-01,19,21930,52982.66,6.53,3411.5,0.368,7.0
DRV00004,2023-02-01,19,31222,68199.06,6.46,4803.1,0.316,7.8
DRV00004,2023-03-01,22,35225,85107.77,6.39,5560.2,0.273,7.6
DRV00004,2023-04-01,14,24847,53051.37,6.41,3900.3,0.429,6.8
DRV00004,2023-05-01,20,30328,62313.89,6.34,4778.4,0.35,7.5
DRV00004,2023-06-01,25,31591,67905.77,6.68,4789.5,0.44,8.5
DRV00004,2023-07-01,17,25839,53080.75,6.6,3975.9,0.294,6.8
DRV00004,2023-08-01,15,27499,58630.07,6.75,4033.5,0.467,5.6
DRV00004,2023-09-01,10,11978,26290.26,6.27,1968.3,0.5,8.1
DRV00004,2023-10-01,17,22049,45593.81,6.61,3370.1,0.412,6.5
DRV00004,2023-11-01,13,18825,42706.62,6.49,2855.8,0.615,6.1
DRV00004,2023-12-01,17,21918,48060.04,6.65,3397.1,0.353,8.0
DRV00004,2024-01-01,16,26987,61090.13,6.55,4140.3,0.438,6.0
DRV00004,2024-02-01,19,26858,55363.26,6.42,4131.6,0.632,6.6
DRV00004,2024-03-01,16,24462,50887.43,6.55,3680.6,0.438,7.5
DRV00004,2024-04-01,19,24999,53180.31,6.43,3978.4,0.474,5.8
DRV00004,2024-05-01,23,39140,81970.05,6.38,6179.7,0.478,6.8
DRV00004,2024-06-01,22,33289,74763.05,6.53,5130.7,0.409,6.7
DRV00004,2024-07-01,13,24149,51317.32,6.53,3780.6,0.462,6.8
DRV00004,2024-08-01,15,22208,48013.38,6.59,3357.3,0.6,6.8
DRV00004,2024-09-01,15,22853,52137.1,6.61,3493.6,0.333,8.6
DRV00004,2024-10-01,14,24403,56373.44,6.54,3796.1,0.429,7.4
DRV00004,2024-11-01,20,21348,45568.61,6.19,3563.3,0.45,6.3
DRV00004,2024-12-01,22,33528,65327.76,6.5,5139.6,0.5,7.1
DRV00005,2022-01-01,12,19991,46330.99,6.7,3000.2,0.417,7.7
DRV00005,2022-02-01,18,26539,61396.36,6.73,4020.2,0.333,7.4
DRV00005,2022-03-01,6,6650,14941.63,6.38,1093.5,0.167,9.0
DRV00005,2022-04-01,16,22560,46274.55,6.37,3596.7,0.5,7.4
DRV00005,2022-05-01,18,23591,52354.68,6.39,3766.4,0.5,7.9
DRV00005,2022-06-01,11,19077,35535.72,6.56,3027.6,0.273,7.8
DRV00005,2022-07-01,19,31144,74032.7,6.39,4967.9,0.211,6.4
DRV00005,2022-08-01,15,20109,42488.97,6.39,3172.4,0.533,7.2
DRV00005,2022-09-01,21,26898,60586.16,6.55,4124.0,0.524,7.3
DRV00005,2022-10-01,18,24616,55463.15,6.82,3571.7,0.333,6.6
DRV00005,2022-11-01,25,31381,71489.8,6.56,4849.5,0.32,7.0
DRV00005,2022-12-01,21,32946,72696.62,6.59,5057.8,0.714,6.7
DRV00005,2023-01-01,14,21137,44953.17,6.42,3315.4,0.571,7.7
DRV00005,2023-02-01,18,26363,55393.87,6.55,3993.7,0.611,6.7
DRV00005,2023-03-01,23,36955,75313.91,6.49,5677.5,0.348,7.0
DRV00005,2023-04-01,12,16688,41887.95,6.08,2767.0,0.417,5.8
DRV00005,2023-05-01,18,28366,63576.51,6.36,4518.0,0.389,6.4
DRV00005,2023-06-01,20,24124,48696.35,6.8,3624.4,0.3,7.6
DRV00005,2023-07-01,14,20578,42266.39,6.67,3162.9,0.643,7.2
DRV00005,2023-08-01,26,34172,74170.5,6.35,5468.1,0.423,7.5
DRV00005,2023-09-01,6,12146,26490.09,6.64,1879.6,0.833,7.2
DRV00005,2023-10-01,12,15390,33322.01,6.52,2344.8,0.583,5.5
DRV00005,2023-11-01,20,27873,62447.23,6.3,4575.6,0.35,7.0
DRV00005,2023-12-01,12,12841,26320.87,6.42,2110.2,0.417,6.8
DRV00005,2024-01-01,25,33791,71025.77,6.64,5126.3,0.48,6.6
DRV00005,2024-02-01,17,28600,67074.26,6.59,4376.7,0.647,7.5
DRV00005,2024-03-01,19,20814,44390.58,6.48,3265.8,0.474,7.4
DRV00005,2024-04-01,15,18689,43614.28,6.51,2879.3,0.533,7.9
DRV00005,2024-05-01,17,28626,65196.35,6.52,4344.2,0.471,6.6
DRV00005,2024-06-01,28,52104,120214.94,6.37,8178.5,0.321,7.3
DRV00005,2024-07-01,22,24975,53665.12,6.31,4012.0,0.591,8.2
DRV00005,2024-08-01,18,21382,45835.05,6.6,3299.3,0.5,7.7
DRV00005,2024-09-01,14,20320,42954.52,6.73,3053.8,0.357,6.2
DRV00005,2024-10-01,25,37545,82433.09,6.51,5847.3,0.4,6.7
DRV00005,2024-11-01,21,29654,62971.9,6.52,4615.9,0.381,6.8
DRV00005,2024-12-01,27,44493,94551.42,6.63,6788.6,0.481,7.2
DRV00006,2022-01-01,16,19612,42338.96,6.53,3024.2,0.562,6.8
DRV00006,2022-02-01,12,19275,44546.74,6.55,2993.9,0.25,7.3
DRV00006,2022-03-01,25,48242,95210.6,6.21,7786.8,0.44,7.7
DRV00006,2022-04-01,18,19869,43120.94,6.55,3039.8,0.389,7.9
DRV00006,2022-05-01,16,22115,47419.85,6.46,3488.6,0.5,7.1
DRV00006,2022-06-01,14,20483,39331.73,6.71,3130.1,0.286,6.4
DRV00006,2022-07-01,11,15897,33470.15,6.33,2546.9,0.636,7.0
DRV00006,2022-08-01,27,37778,75850.62,6.24,6113.5,0.667,7.6
DRV00006,2022-09-01,20,26615,60215.72,6.41,4241.0,0.45,7.5
DRV00006,2022-10-01,20,25150,50076.97,6.51,3887.0,0.3,7.2
DRV00006,2022-11-01,21,29876,68893.56,6.51,4607.5,0.381,6.5
DRV00006,2022-12-01,27,31148,67733.16,6.55,4883.4,0.407,7.5
DRV00006,2023-01-01,21,33078,69630.58,6.54,5069.4,0.429,6.6
DRV00006,2023-02-01,14,23258,49989.25,6.48,3587.0,0.357,8.0
DRV00006,2023-03-01,15,21068,41064.27,6.82,3072.9,0.533,7.7
DRV00006,2023-04-01,16,25883,51532.05,6.68,3853.7,0.438,7.2
DRV00006,2023-05-01,14,19152,34518.64,6.76,2876.9,0.286,7.5
DRV00006,2023-06-01,19,27531,62402.2,6.4,4321.4,0.579,6.3
DRV00006,2023-07-01,16,27061,55323.09,6.7,4081.2,0.438,6.8
DRV00006,2023-08-01,16,28173,57600.38,6.16,4534.7,0.375,6.7
DRV00006,2023-09-01,14,19307,45115.43,6.67,2897.0,0.429,7.7
DRV00006,2023-10-01,18,26832,53987.63,6.61,4041.2,0.556,6.5
DRV00006,2023-11-01,20,27060,58150.48,6.42,4244.2,0.55,7.3
DRV00006,2023-12-01,12,17318,35157.63,6.4,2722.5,0.417,9.0
DRV00006,2024-01-01,23,37177,76191.64,6.43,5786.1,0.609,7.0
DRV00006,2024-02-01,10,14485,30920.77,6.37,2267.4,0.4,7.5
DRV00006,2024-03-01,18,23001,48649.03,6.31,3691.0,0.722,7.0
DRV00006,2024-04-01,16,25344,54992.66,6.51,3932.1,0.25,6.0
DRV00006,2024-05-01,19,28682,60608.35,6.53,4401.3,0.421,7.8
DRV00006,2024-06-01,23,34855,75115.84,6.49,5438.8,0.435,7.5
DRV00006,2024-07-01,17,17316,38195.6,6.69,2693.8,0.235,4.5
DRV00006,2024-08-01,18,22572,45362.19,6.65,3419.6,0.5,6.8
DRV00006,2024-09-01,24,31956,67402.89,6.57,4871.3,0.25,7.7
DRV00006,2024-10-01,22,30277,70921.96,6.34,4919.1,0.455,7.9
DRV00006,2024-11-01,15,17219,38096.77,6.51,2630.5,0.467,7.0
DRV00006,2024-12-01,20,27485,59073.14,6.37,4357.3,0.4,6.4
DRV00009,2022-01-01,21,34357,68595.81,6.5,5369.4,0.667,7.1
DRV00009,2022-02-01,11,12195,25666.57,6.5,1892.7,0.545,7.5
DRV00009,2022-03-01,25,39127,86215.11,6.62,5893.1,0.52,6.9
DRV00009,2022-04-01,19,26013,54918.17,6.62,4002.8,0.316,7.2
DRV00009,2022-05-01,23,39216,86018.91,6.52,6034.6,0.435,7.8
DRV00009,2022-06-01,22,30965,63157.35,6.46,4763.3,0.409,7.8
DRV00009,2022-07-01,22,34221,77546.88,6.58,5224.8,0.545,6.7
DRV00009,2022-08-01,26,42235,92559.77,6.43,6697.1,0.308,7.2
DRV00009,2022-09-01,11,18496,35592.57,6.57,2894.1,0.273,7.0
DRV00009,2022-10-01,14,18471,41148.32,6.36,2945.5,0.429,7.2
DRV00009,2022-11-01,22,28225,61191.07,6.43,4486.6,0.455,7.5
DRV00009,2022-12-01,24,25607,52289.96,6.44,3975.3,0.458,8.1
DRV00009,2023-01-01,20,27105,60127.57,6.55,4283.0,0.3,6.8
DRV00009,2023-02-01,13,15892,30331.94,6.52,2503.1,0.538,8.2
DRV00009,2023-03-01,11,15586,36384.12,6.32,2408.6,0.364,6.6
DRV00009,2023-04-01,9,10502,23649.5,6.6,1629.7,0.556,7.3
DRV00009,2023-05-01,14,21034,44369.06,6.48,3281.7,0.214,7.5
DRV00009,2023-06-01,21,27353,57103.89,6.48,4428.5,0.429,5.8
DRV00009,2023-07-01,21,29631,68637.56,6.49,4656.8,0.476,6.0
DRV00009,2023-08-01,25,43603,98052.8,6.31,6954.8,0.36,7.5
DRV00009,2023-09-01,27,35366,71332.76,6.46,5515.0,0.444,7.0
DRV00009,2023-10-01,25,37253,75862.83,6.58,5773.8,0.52,6.5
DRV00009,2023-11-01,16,24603,58382.22,6.55,3783.8,0.438,6.8
DRV00009,2023-12-01,23,34725,75533.37,6.63,5307.4,0.652,6.9
DRV00009,2024-01-01,11,11660,22942.64,6.52,1866.6,0.545,6.5
DRV00009,2024-02-01,30,43973,89998.17,6.35,7020.3,0.467,6.5
DRV00009,2024-03-01,14,15148,34613.97,6.46,2373.1,0.429,6.3
DRV00009,2024-04-01,20,28248,60161.2,6.27,4509.3,0.4,7.6
DRV00009,2024-05-01,11,14551,30500.74,6.72,2188.1,0.818,5.6
DRV00009,2024-06-01,11,13907,32211.43,6.5,2200.7,0.364,8.2
DRV00009,2024-07-01,20,29787,62996.06,6.3,4739.0,0.25,7.2
DRV00009,2024-08-01,19,31647,65720.36,6.44,4986.9,0.474,5.5
DRV00009,2024-09-01,15,20340,41921.06,6.68,3042.2,0.467,5.2
DRV00009,2024-10-01,17,23793,50332.9,6.64,3589.7,0.235,7.2
