trailer_id,trailer_number,trailer_type,length_feet,model_year,vin,acquisition_date,status,current_location
TRL00001,4290,Refrigerated,53,2016,1AV889081755621178,2018-05-11,Active,Kansas City
TRL00002,8848,Dry Van,53,2018,1BU942062588832828,2018-11-24,Active,Kansas City
TRL00003,6147,Dry Van,53,2022,1AV669057807416326,2019-01-28,Active,Milwaukee
TRL00004,3910,Dry Van,53,2024,1AV544000060905105,2018-08-27,Active,New York
TRL00005,7524,Dry Van,53,2016,1AV170126369813275,2019-11-22,Active,Las Vegas
TRL00006,6228,Refrigerated,53,2023,1BV247166900716104,2020-04-27,Active,Los Angeles
TRL00007,5775,Dry Van,53,2015,1AU542428020643035,2016-03-15,Active,Indianapolis
TRL00008,9044,Refrigerated,53,2020,1CV458098594511128,2019-04-23,Active,Oklahoma City
TRL00009,4971,Dry Van,53,2020,1BU184087873073667,2021-05-14,Active,Kansas City
TRL00010,6339,Refrigerated,53,2017,1AT967110002225980,2015-04-11,Active,Los Angeles
TRL00011,7161,Dry Van,53,2021,1CT218958376680556,2017-06-21,Active,Detroit
TRL00012,5592,Refrigerated,53,2024,1AU453568004465492,2018-06-02,Active,Los Angeles
TRL00013,7437,Refrigerated,53,2021,1BT503394220153331,2020-06-07,Active,Los Angeles
TRL00014,6980,Dry Van,53,2020,1AU621680936845604,2021-09-19,Active,Charlotte
TRL00015,2865,Dry Van,53,2023,1BT277455552123591,2016-06-04,Active,Philadelphia
TRL00016,4273,Refrigerated,53,2017,1CU893430037763044,2018-09-09,Active,Kansas City
TRL00017,9939,Refrigerated,53,2022,1CV342090299821561,2019-02-04,Active,Philadelphia
TRL00018,3947,Dry Van,53,2016,1BT900689669913238,2017-04-23,Active,Omaha
TRL00019,1440,Refrigerated,53,2015,1AU678104299898602,2017-06-19,Active,Miami
TRL00020,8563,Dry Van,53,2024,1AV392922348065594,2017-08-25,Active,Indianapolis
TRL00021,4434,Refrigerated,53,2016,1AT555304982338161,2021-08-10,Active,Philadelphia
TRL00022,8183,Dry Van,53,2015,1BV719380446728636,2015-06-19,Active,Denver
TRL00023,5773,Dry Van,53,2019,1AT214737740805998,2015-08-03,Active,Milwaukee
TRL00024,2133,Refrigerated,53,2018,1AT169432492661737,2019-11-16,Active,Las Vegas
TRL00025,7703,Dry Van,53,2015,1AT519104629229467,2018-02-26,Active,Detroit
