truck_id,unit_number,make,model_year,vin,acquisition_date,acquisition_mileage,fuel_type,tank_capacity_gallons,status,home_terminal
TRK00001,3463,Peterbilt,2016,1VV205190335317039,2017-04-27,18814,Diesel,200,Active,Omaha
TRK00002,6461,Kenworth,2015,1NV753749606229960,2018-10-04,26795,Diesel,150,Active,Seattle
TRK00003,2335,Peterbilt,2018,1NT803101860493229,2020-09-17,11795,Diesel,150,Maintenance,Atlanta
TRK00004,3317,Freightliner,2015,1VV131945381692351,2017-06-17,8875,Diesel,200,Active,Salt Lake City
TRK00005,6731,Freightliner,2016,1FT822215709701985,2021-10-08,42042,Diesel,250,Maintenance,Miami
TRK00006,6082,Kenworth,2017,1VV963516965177788,2018-05-12,47794,Diesel,150,Active,Minneapolis
TRK00007,7421,Volvo,2019,1MV134100489809236,2020-01-29,42328,Diesel,200,Active,Charlotte
TRK00008,3112,Mack,2015,1MV426140684859204,2015-01-27,27548,Diesel,150,Active,Houston
TRK00009,2388,International,2015,1VU871233565012431,2016-11-04,24540,Diesel,250,Active,Denver
TRK00010,6072,Volvo,2015,1MU182160377362421,2017-12-11,25066,Diesel,200,Active,Columbus
TRK00011,7171,Freightliner,2015,1FT567947164925037,2021-01-06,29395,Diesel,200,Active,Portland
TRK00012,6381,Freightliner,2015,1MU483021764762154,2017-02-08,24739,Diesel,250,Active,Las Vegas
TRK00013,3093,Volvo,2018,1NU908806171429154,2020-10-25,24618,Diesel,250,Active,Phoenix
TRK00014,9624,International,2015,1VV247228896414388,2019-04-11,5259,Diesel,150,Active,Nashville
TRK00015,2531,International,2015,1VV219552826957760,2017-02-12,44743,Diesel,200,Active,Memphis
TRK00016,7937,Freightliner,2015,1VT237947763097353,2015-05-26,43371,Diesel,150,Active,Nashville
TRK00017,9331,Mack,2017,1VU258614207044782,2017-07-06,35343,Diesel,200,Maintenance,Portland
TRK00018,6928,International,2015,1FT570778303307847,2016-02-16,8715,Diesel,150,Active,Dallas
TRK00019,1298,International,2015,1NT468662011712903,2021-02-13,42830,Diesel,200,Active,Omaha
TRK00020,6940,Kenworth,2015,1VT279404061535276,2017-07-25,22791,Diesel,250,Active,Kansas City
TRK00021,6060,Mack,2018,1MV661551799038494,2018-07-11,7774,Diesel,150,Inactive,Detroit
TRK00022,3953,Kenworth,2017,1VU201382802563540,2018-03-13,11696,Diesel,200,Inactive,Houston
TRK00023,4509,Peterbilt,2015,1MV342228599481462,2019-07-09,35209,Diesel,200,Active,Milwaukee
TRK00024,6598,Volvo,2015,1VT416775529985868,2018-04-08,25759,Diesel,150,Active,Dallas
TRK00025,8967,Freightliner,2018,1MV857192659408369,2020-02-13,34658,Diesel,250,Active,Dallas
TRK00026,4145,International,2021,1MU109206419984555,2021-02-23,8345,Diesel,250,Active,Miami
TRK00027,4711,Peterbilt,2015,1FU919098643889893,2016-04-12,47700,Diesel,150,Maintenance,New York
TRK00028,3253,Kenworth,2015,1VU150939883819521,2020-09-21,14594,Diesel,150,Maintenance,Portland
TRK00029,3538,International,2016,1MT732548052826703,2016-01-20,227,Diesel,200,Active,Milwaukee
TRK00030,2264,Volvo,2015,1NU424938126853269,2016-04-14,49556,Diesel,200,Active,Salt Lake City
TRK00031,5846,Kenworth,2018,1FU607053119824892,2019-10-30,1489,Diesel,250,Active,New York
TRK00032,2657,Mack,2015,1VV787975078730489,2018-01-31,19553,Diesel,250,Maintenance,Oklahoma City
TRK00033,9317,Mack,2015,1FT208855839098628,2018-01-24,30343,Diesel,250,Active,Portland
TRK00034,9843,Freightliner,2015,1MU728063113988930,2020-05-07,44138,Diesel,150,Maintenance,Seattle
TRK00035,9626,International,2015,1VT778313629938960,2019-05-10,47126,Diesel,150,Active,Denver
TRK00036,1618,Peterbilt,2020,1MV151007204500818,2020-11-06,35680,Diesel,150,Active,Los Angeles
TRK00037,6517,Freightliner,2018,1FT474970889663627,2020-05-12,27795,Diesel,250,Maintenance,Dallas
TRK00038,3147,International,2015,1MV267690370888657,2019-02-18,34860,Diesel,250,Active,Atlanta
TRK00039,7172,International,2015,1NU790256784273010,2019-10-16,24856,Diesel,250,Active,Detroit
TRK00040,3527,International,2015,1VT932401669552606,2020-01-22,15051,Diesel,250,Active,Minneapolis
TRK00041,3658,International,2015,1VV671184850440720,2015-04-01,16220,Diesel,150,Active,Denver
TRK00042,3962,International,2019,1MV437535307599343,2020-04-15,30187,Diesel,200,Maintenance,Omaha
TRK00043,3712,Freightliner,2019,1MT472942182331015,2021-02-27,22685,Diesel,150,Active,Miami
TRK00044,8170,Volvo,2015,1FU446413094240484,2020-01-07,10166,Diesel,200,Active,Los Angeles
TRK00045,1715,Volvo,2015,1FV398961826922119,2016-06-18,18064,Diesel,200,Active,New York
TRK00046,7731,Freightliner,2015,1NV756988482935978,2016-10-19,12352,Diesel,150,Inactive,Dallas
